"산업분류(1)","규모별(1)",2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09,2025.09
"산업분류(1)","규모별(1)",전체근로일수 (일),상용근로일수 (일),임시일용근로일수 (일),전체근로시간 (시간),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),임시일용근로시간 (시간),전체임금총액 (원),상용임금총액 (원),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),임시일용임금총액 (원)
"C.제조업(10~34)","5~9인",21.3,21.9,9.0,175.6,180.6,172.7,7.9,71.0,3763937,3873274,3373348,182112,317815,1484350
"C.제조업(10~34)","10~29인",21.6,21.8,12.1,183.1,185.8,171.3,14.4,95.1,4102004,4174912,3547684,344922,282307,1667430
"C.제조업(10~34)","30~99인",21.6,21.8,14.4,187.9,190.0,170.3,19.8,111.4,4235722,4297059,3433595,494246,369219,2031050
"C.제조업(10~34)","100~299인",21.5,21.5,18.3,189.0,189.5,166.5,23.0,151.7,5300651,5327960,3690164,690636,947159,3400712
"C.제조업(10~34)","300인이상",20.9,20.9,20.1,182.3,182.4,161.7,20.7,177.4,9020258,8948820,4727984,839067,3381769,11400612
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","전규모(1인이상)",19.5,19.5,20.3,163.0,163.0,155.7,7.3,163.4,11641584,11805582,5231857,354428,6219297,2191838
"D.전기, 가스, 증기 및 공기 조절 공급업(35)"," -5인이상",19.5,19.4,20.3,162.5,162.5,155.3,7.2,163.4,11763024,11933750,5256083,350434,6327233,2191838
"D.전기, 가스, 증기 및 공기 조절 공급업(35)"," -10인이상",19.4,19.4,20.3,162.2,162.2,155.4,6.9,162.8,11800380,11972917,5263979,331901,6377037,2163296
"D.전기, 가스, 증기 및 공기 조절 공급업(35)"," -30인이상",19.4,19.4,20.5,162.3,162.2,155.2,7.0,164.0,11847860,12024386,5271848,332330,6420208,2179963
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","-1~9인",20.5,20.5,21.5,176.9,176.7,161.1,15.7,190.7,8728965,8768021,4648764,763349,3355909,3446420
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","-1~29인",20.0,20.1,18.4,169.0,169.2,159.1,10.1,154.0,9887060,9960085,4894557,540809,4524719,2379847
"D.전기, 가스, 증기 및 공기 조절 공급업(35)"," -1~299인",19.8,19.8,20.3,165.8,165.9,157.7,8.2,162.9,10722934,10859672,5134110,359225,5366337,2206796
"D.전기, 가스, 증기 및 공기 조절 공급업(35)"," -5~299인",19.7,19.7,20.3,165.2,165.3,157.3,8.0,162.9,10874055,11019287,5167812,353176,5498299,2206796
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","1~4인",20.9,20.9,-,179.8,179.8,166.8,13.0,-,7198511,7198511,4361060,497977,2339474,-
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","5~9인",20.0,19.9,21.5,173.7,173.4,154.9,18.5,190.7,10351453,10457459,4958452,1048998,4450010,3446420
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","10~29인",19.6,19.7,16.5,161.5,161.8,157.1,4.7,132.0,11006245,11117356,5133177,324765,5659415,1741507
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","30~99인",19.5,19.4,21.1,159.3,159.1,154.2,4.9,169.2,11207033,11345381,5132775,212715,5999891,2432126
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","100~299인",20.0,20.0,19.8,172.5,172.7,161.4,11.3,158.4,10488305,10652318,5240595,461056,4950667,1939251
"D.전기, 가스, 증기 및 공기 조절 공급업(35)","300인이상",19.0,19.0,20.4,157.8,157.7,151.9,5.8,164.2,13325960,13546233,5411731,345601,7788901,2169452
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","전규모(1인이상)",21.7,22.3,13.1,179.3,184.0,171.8,12.3,100.8,4882817,5062406,3687070,477224,898112,1897185
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)"," -5인이상",21.8,22.2,13.8,181.2,185.2,171.6,13.7,106.2,5095492,5261074,3747342,532588,981144,2017683
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)"," -10인이상",21.9,22.2,14.2,183.5,186.2,171.3,14.9,110.0,5332349,5459072,3791250,585845,1081978,1887044
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)"," -30인이상",21.9,22.0,20.1,187.5,188.6,169.4,19.2,154.7,5817621,5921123,3782299,743565,1395259,2541872
"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","-1~9인",21.3,22.6,12.1,165.7,176.3,173.6,2.7,92.3,3420751,3638836,3313187,87400,238249,1906480
